file_name,product_name,discount_price,original_price,rating,quantity,category
products_page_2.html,Moell Skin Protection Body Lotion 185gr & Physical Sunscreen 30gr & Face Cream 40gr - Perawatan Kulit Anak dan Bayi,Rp200.000,Rp400.000,5.0,500+ terjual,Body Lotion
products_page_2.html,Moell Face Protection - Physical Sunscreen 30gr & Face Cream 40gr - Face Protection Hypoallergenic & Dermatologically Tested,Rp135.000,Rp270.000,4.9,750+ terjual,Face Cream
products_page_2.html,Moell Face Cream 40gr Healthy Glow Barrier Face Cream - Pelembab Wajah Bayi - Plant Based Probiotics Suitable For Sensitive Skin,Rp125.000,Rp250.000,4.9,4rb+ terjual,Face Cream
products_page_2.html,Moell Bundling Hair Lotion 100ml & Sunscreen 30ml & Body Lotion 185ml,Rp125.000,Rp250.000,5.0,500+ terjual,Body Lotion
products_page_2.html,Moell Special Bundling - Hair Lotion 100ml & Physical Sunscreen 30gr,Rp125.000,Rp250.000,5.0,250+ terjual,Sunscreen
products_page_2.html,Moell Protection Combo Body Lotion 185gr & Sunscreen 30ml - Physical Sunscreen SPF 50(+) PA(++++),Rp130.000,Rp260.000,5.0,750+ terjual,Body Lotion
products_page_2.html,"Moell Physical Sunscreen Anak 30ml SPF (50+) PA(++++) Broad Spectrum, Water Resistant - Skincare Untuk Anak & Bayi",Rp125.000,Rp250.000,5.0,8rb+ terjual,Sunscreen
products_page_2.html,Moell Hair Care Combo Hair Lotion 100gr & Shampoo 185gr - Perawatan Rambut Anak - Formulasi Dokter - Menumbuhkan Rambut Dalam 7 Hari - Microbiome Teknologi,Rp125.000,Rp250.000,5.0,2rb+ terjual,Shampoo
products_page_2.html,Moell Fitme Natural Essential Oil - Bantu Menyegarkan Tubuh Anak,Rp35.000,Rp70.000,5.0,100+ terjual,essential oil
products_page_2.html,Moell Bugbites Natural Essential Oil - Melindungi dari Gigitan Nyamuk,Rp35.000,Rp70.000,5.0,250+ terjual,essential oil
products_page_2.html,Moell Tummywind Natural Essential Oil - Pereda Masuk Angin & Kembung,Rp35.000,Rp70.000,4.9,250+ terjual,essential oil
products_page_2.html,Moell Special Bundling Body Wash & Shampoo - Skincare baby,Rp125.000,Rp250.000,5.0,1rb+ terjual,Shampoo
products_page_2.html,Moell Special Bundling Body Lotion & Body Wash - Skincare Baby,Rp125.000,Rp250.000,5.0,250+ terjual,Body Lotion
products_page_2.html,Moell Special Bundling Body Lotion & Hair Lotion - Skincare Baby,Rp125.000,Rp250.000,5.0,750+ terjual,Body Lotion
products_page_2.html,Moell Body Lotion Bayi 185gr - Pelembab Kulit Bayi - Natural Organic,Rp65.000,Rp130.000,5.0,6rb+ terjual,Body Lotion
products_page_2.html,Moell Shampo Bayi 185gr - Shampo Bayi - SLS Free - Natural Organic,Rp60.000,Rp120.000,5.0,3rb+ terjual,Shampoo
products_page_2.html,Moell Body Wash 185gr- Bubbles Bubbles Everywhere-Sabun bayi- SLS free,Rp60.000,Rp120.000,5.0,2rb+ terjual,Soap
